iter	RMSE
0	0.01013247424
1	0.01006895927
2	0.01003592113
3	0.01000145201
4	0.009940085965
5	0.009871450068
6	0.00983619738
7	0.009799903295
8	0.009768474214
9	0.009722550401
10	0.009687919841
11	0.009633838428
12	0.009602786811
13	0.009569280163
14	0.009521554534
15	0.009477347518
16	0.0094253712
17	0.009388240961
18	0.009341742675
19	0.009323054942
20	0.009284701588
21	0.009242122839
22	0.009207198925
23	0.009169159174
24	0.009136890436
25	0.009111285773
26	0.009073358523
27	0.009037585719
28	0.009015657664
29	0.008975814641
30	0.008954696737
31	0.008909242989
32	0.008876241172
33	0.008837549648
34	0.008806502047
35	0.008764399711
36	0.008733288602
37	0.008713773714
38	0.008684117489
39	0.008641991732
40	0.008609641212
41	0.008589753744
42	0.008561858036
43	0.008534943254
44	0.008510145663
45	0.008468429683
46	0.008449539665
47	0.00840220493
48	0.008375164715
49	0.008355621606
50	0.00830774701
51	0.008283137606
52	0.00826562119
53	0.008235273971
54	0.008197762181
55	0.008166184465
56	0.008134201651
57	0.008113875976
58	0.008087581884
59	0.008064313584
60	0.008038329195
61	0.00801987432
62	0.007977001662
63	0.007960811358
64	0.007950132201
65	0.007937338056
66	0.007921847164
67	0.007899792077
68	0.007866610627
69	0.007840433039
70	0.00781250108
71	0.007785726393
72	0.007783136039
73	0.007757155084
74	0.00772420881
75	0.007702960586
76	0.007678366461
77	0.007639503675
78	0.007608920107
79	0.00758275752
80	0.00754200624
81	0.007516101668
82	0.007499992234
83	0.007478427648
84	0.007452739786
85	0.007426827929
86	0.007410864219
87	0.007387144081
88	0.007363080836
89	0.007351222118
90	0.007319982941
91	0.007293449233
92	0.007267256587
93	0.007242511051
94	0.007219441968
95	0.007202710954
96	0.007184070242
97	0.007160177417
98	0.007136064406
99	0.007113878784
100	0.007100018663
101	0.007085673403
102	0.007069605695
103	0.007041801175
104	0.007023664946
105	0.006991093413
106	0.006975440118
107	0.006964072217
108	0.006932977924
109	0.006904924504
110	0.006876931366
111	0.006863390915
112	0.006839380501
113	0.006820819102
114	0.006799285005
115	0.006775238223
116	0.006744868708
